English,Bulgarian
century,век
burned,изгорени
belongs,принадлежи
changing,промяна
picking,бране
expensive,скъпо
statement,изявление
giant,гигант
bone,костен
success,успех
yourselves,себе си
ruin,съсипване
families,семейства
guards,пазачи
wound,рана
trap,капан
avoid,да се избегне
tour,обиколка
enemies,врагове
glasses,очила
scoffs,присмива се
rate,скорост
telephone,телефон
w,w
checking,проверка
carrying,носене
tall,висок
grant,грант
positive,положителен
sexy,секси
fixed,фиксирани
Maria,Мария
traffic,трафик
odd,странно
regular,редовен
reached,достигнат
toilet,тоалетна
protection,защита
senator,сенатор
laid,положени
grave,гроб
official,официален
rescue,спасяване
eventually,в крайна сметка
scary,страшен
charges,обвинения
faces,лица
romantic,романтичен
awake,буден
screwed,прецакан
hoo,ура
Italian,Италиански
tires,гуми
per,пер
lover,любовник
jacket,яке
jerk,идиот
painting,живопис
cos,cos
depends,Зависи
china,Китай
Kyle,Кайл
raised,повдигнати
madame,мадам
whore,курва
metal,метал
poison,отрова
wise,мъдър
ear,ухо
intelligence,интелигентност
babies,бебета
Kelly,Кели
secure,сигурен
I'LL,АЗ ЩЕ
results,резултати
waited,чаках
neighborhood,квартал
below,По-долу
pissed,ядосан
chose,избрах
firm,твърд
confused,объркан
spell,заклинание
armed,въоръжен
Jones,Джоунс
owner,собственик
l'm,аз съм
wherever,където и да е
clever,умен
invite,покани
bike,велосипед
concern,загриженост
penny,пени
range,диапазон
chocolate,шоколад
witch,вещица
offered,предлагани
governor,Губернатор
Rick,Рик
vehicle,превозно средство
prime,първичен
merry,весел
Barry,Бари
sobbing,ридаене
tip,бакшиш
tears,плач
pity,жалко
victory,победа
miracle,чудо
freeze,замръзвам
march,Март
nation,нация
license,Разрешително
load,натоварване
deeply,дълбоко
central,централен
ahh,ааа
I'II,аз ще
iron,желязо
guests,гости
Emma,Ема
kicked,ритна
particular,конкретно
moves,се движи
grade,клас
drove,карах
direction,посока
non,не
artist,художник
Monday,понеделник
pulling,дърпане
bath,баня
meal,хранене
plate,плоча
elevator,асансьор
Hank,Ханк
period,Период
political,политически
aside,настрана
television,телевизия
desert,пустинен
fail,провалят се
nothin',нищо
alien,извънземно
curious,любопитен
pure,чисто
Leo,Лео
swim,плувам
punch,удар
Laura,Лора
celebrate,празнувам
capable,способен
disease,заболяване
appear,се появи
millions,милиони
Chicago,Чикаго
hunting,на лов
exhales,издишва
golden,златист
device,устройство
carefully,внимателно
younger,по-млад
violence,насилие
dragon,дракон
shock,шок
wolf,вълк
beast,звяр
beeps,звукови сигнали
tower,кула
badly,зле
appears,появява се
Europe,Европа
photos,снимки
mostly,предимно
wood,дърво
pills,хапчета
Elizabeth,Елизабет
stronger,по-силен
prisoner,затворник
stealing,кражба
jury,жури
sexual,сексуален
Susan,Сюзън
university,университет
stood,стоеше
percent,процента
pizza,пица
Howard,Хауърд
bags,чанти
dawn,зората
touched,докоснато
midnight,полунощ
candy,бонбони
vacation,ваканция
yöu,Вие
negative,отрицателен
wide,широк
ashamed,срамувам се
courage,кураж
lips,устни
disgusting,отвратително
terms,условия
available,на разположение
someday,някой ден
gunshot,огнестрелен изстрел
Fred,Фред
Tim,Тим
illegal,незаконно
Josh,Джош
federal,федерален
physical,физически
section,раздел
value,стойност
suffer,страдам
committed,ангажирани
blew,издуха
Jenny,Джени
tear,късам
cab,такси
smells,мирише
claim,претенция
council,съвет
rob,грабя
beating,побой
edge,"ръб, край"
county,окръг
appointment,назначаване
patients,пациенти
useless,безполезен
cure,лек
Victor,Виктор
Americans,американци
technology,технология
